橘皮風味拿鐵燕麥奶(熱)大,472,242,,,,,,,,,,,,,,,,
黑糖風味拿鐵(冰)中,500,265,,,,,,,,,,,,,,,,
黑糖風味拿鐵(熱)中,354,223,,,,,,,,,,,,,,,,
黑糖風味拿鐵(冰)大,660,378,,,,,,,,,,,,,,,,
黑糖風味拿鐵(熱)大,472,298,,,,,,,,,,,,,,,,
黑糖風味拿鐵燕麥奶(冰)中,500,246,,,,,,,,,,,,,,,,
黑糖風味拿鐵燕麥奶(熱)中,354,203,,,,,,,,,,,,,,,,
黑糖風味拿鐵燕麥奶(冰)大,660,350,,,,,,,,,,,,,,,,
黑糖風味拿鐵燕麥奶(熱)大,472,271,,,,,,,,,,,,,,,,
義式摩卡(冰)中,500,258,,,,,,,,,,,,,,,,
義式摩卡(熱)中,354,218,,,,,,,,,,,,,,,,
義式摩卡(冰)大,660,368,,,,,,,,,,,,,,,,
義式摩卡(熱)大,472,290,,,,,,,,,,,,,,,,
義式摩卡燕麥奶(冰)中,500,239,,,,,,,,,,,,,,,,
義式摩卡燕麥奶(熱)中,354,198,,,,,,,,,,,,,,,,
義式摩卡燕麥奶(冰)大,660,340,,,,,,,,,,,,,,,,
義式摩卡燕麥奶(熱)大,472,263,,,,,,,,,,,,,,,,
焦糖瑪奇朵(冰)中,500,256,,,,,,,,,,,,,,,,
焦糖瑪奇朵(熱)中,354,204,,,,,,,,,,,,,,,,
焦糖瑪奇朵(冰)大,660,372,,,,,,,,,,,,,,,,
焦糖瑪奇朵(熱)大,472,276,,,,,,,,,,,,,,,,
焦糖瑪奇朵燕麥奶(冰)中,500,237,,,,,,,,,,,,,,,,
焦糖瑪奇朵燕麥奶(熱)中,354,184,,,,,,,,,,,,,,,,
焦糖瑪奇朵燕麥奶(冰)大,660,343,,,,,,,,,,,,,,,,
焦糖瑪奇朵燕麥奶(熱)大,472,249,,,,,,,,,,,,,,,,
路易莎特調咖啡(冰)中,500,249,,,,,,,,,,,,,,,,
路易莎特調咖啡(熱)中,354,209,,,,,,,,,,,,,,,,
路易莎特調咖啡(冰)大,660,375,,,,,,,,,,,,,,,,
路易莎特調咖啡(熱)大,472,315,,,,,,,,,,,,,,,,
鴛鴦咖啡(冰)中,500,231,,,,,,,,,,,,,,,,
鴛鴦咖啡(熱)中,354,191,,,,,,,,,,,,,,,,
鴛鴦咖啡(冰)大,660,356,,,,,,,,,,,,,,,,
鴛鴦咖啡(熱)大,472,296,,,,,,,,,,,,,,,,
鴛鴦咖啡燕麥奶(冰)中,500,220,,,,,,,,,,,,,,,,
鴛鴦咖啡燕麥奶(熱)中,354,186,,,,,,,,,,,,,,,,
鴛鴦咖啡燕麥奶(冰)大,660,332,,,,,,,,,,,,,,,,
鴛鴦咖啡燕麥奶(熱)大,472,289,,,,,,,,,,,,,,,,
小農經典拿鐵(冰)中,500,268,,,,,,,,,,,,,,,,
小農經典拿鐵(熱)中,354,215,,,,,,,,,,,,,,,,
小農經典拿鐵(冰)大,660,382,,,,,,,,,,,,,,,,
小農經典拿鐵(熱)大,472,291,,,,,,,,,,,,,,,,
小農輕拿鐵(冰)中,500,244,,,,,,,,,,,,,,,,
小農輕拿鐵(熱)中,354,174,,,,,,,,,,,,,,,,
小農鮮奶咖啡(冰)中,500,215,,,,,,,,,,,,,,,,
小農鮮奶咖啡(熱)中,354,155,,,,,,,,,,,,,,,,
